# Category Code;  Product Name;            Price;   Tax;              Image;                   Description

C02;            Vinfast Feliz S;                1080;      0.0;        feliz-s.webp;           The VinFast Feliz S is an upgraded version of the Feliz electric scooter, featuring significant enhancements in performance and range thanks to a more powerful motor and a high-capacity LFP battery. It is designed for urban commuters seeking a stylish, practical, and efficient daily transport solution.
C02;            Vinfast Klara Neo;              1150;      0.0;        klara-neo.webp;         The VinFast Klara Neo is a modern and stylish electric scooter designed for urban commuting, featuring a classic Italian-inspired design and an efficient, city-friendly performance. It uses a reliable LFP battery and a robust motor to blend style and functionality.
C02;            Vinfast Motio;                  700;      0.0;         motio.webp;             The VinFast Motio is a compact and affordable electric scooter launched on January 12, 2025, primarily targeting students and Gen Z/Gen Alpha users. It is designed as both a practical urban vehicle and a "fashionable running handbag" to reflect personal style.
C02;            Vinfast Vento Neo;              1280;      0.0;        vento-neo.webp;         The VinFast Vento Neo is a modern and stylish electric scooter with a sleek, European-inspired design, optimized for urban commuting. It offers a practical blend of performance, smart features, and affordability, particularly suitable for riders seeking a step up from entry-level models.

C02;             Vinfast Zgoo;                  630;      0.0;         zgoo.webp;               The VinFast Zgoo is a compact, low-cost electric scooter designed primarily for students and new riders who do not require a driver's license, as its top speed is limited. It features a modern design and is equipped with an LFP battery for enhanced durability and safety.
C02;             Vinfast Theon S;               2630;      0.0;        theon-s.webp;            The VinFast Theon S is a premium, high-performance electric scooter designed for sophisticated urban riders who demand speed, robust features, and long range. It is positioned as the top-tier model in VinFast's scooter lineup, offering a compelling alternative to traditional 150cc-170cc gasoline scooters.


C03;               Flymoto;                                    0;           0;           flymoto-f1.webp;
C03;               Isetta;                                     0;           0;           isetta-f1.webp;
C03;               Motobike F1;                               0;           0;           motobike-f1.webp;
C03;               Pasla;                                     0;           0;           pasla-f1.webp;
C03;               Robot 1;                                     0;           0;           robot-f1.webp;
C03;               Robot 2;                                     0;           0;           robot-f2.webp;
C03;               Robot 3;                                     0;           0;           robot-f3.webp;
C03;               Spider;                                     0;           0;           spider-f1.webp;
C03;               Suzuki;                                     0;           0;           suzuki-f1.webp;
C03;               Vehicle F1;                                 0;           0;           vehicle-f1.webp;



